raw,canonical_id,label,parent,family,founder,founded,note,status
hayashi-ha-shito-ryu,hayashi-ha-shito-ryu,Hayashi-ha Shitō-ryū,shito-ryu,japanese,Teruo Hayashi,1970,[wave4] Teruo Hayashi's school | [taxonomy:shito-ryu/confirmed] https://www.internationalshitoryu.com/aboutus/organization-chart/hayashi-teruo/ | http://www.hayashiha.jp/english/,proposed
taido,taido,Taidō,genseiryu,shuri-te,Shukumine Seiken,1965,"[wave4] Seiken Shukumine's art | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Genseiry%C5%AB | https://en.wikipedia.",proposed
soo-bahk-do,tang-soo-do,Tang Soo Do,,korean,,,[wave4] Hwang Kee's later name for his art,proposed
Matsumura Seito Shorin-ryu,matsumura-seito,Matsumura Seitō,,shuri-te,,,[wave4],proposed
Matsumura Kenpo Shorin-ryu,matsumura-seito,Matsumura Seitō,,shuri-te,,,[wave4] Kenshinkan/Kise line label,proposed
Kenshinkan,matsumura-seito,Matsumura Seitō,,shuri-te,,,[wave4] Fusei Kise's organisation,proposed
Konan-ryu,matsumura-seito,Matsumura Seitō,,shuri-te,,,[wave4] Takaya Yabiku's organisation,proposed
Okinawan kobudo,okinawan-kobudo,Okinawan kobudō,,kobudo,,,[wave4],proposed
Okinawan karate,okinawan-karate-generic,Okinawan karate,,other,,,[wave4],proposed
shobukan,goju-ryu,Gōjū-ryū,,naha-te,,,[wave4] Masanobu Shinjo's Shobukan dojo (Gōjū),proposed
tani-ha-shito-ryu,shukokai,Shūkōkai,,japanese,,,[wave4] Tani-ha Shitō-ryū = Shūkōkai,proposed
seito-shito-ryu,shito-ryu,Shitō-ryū,,japanese,,,[wave4] Kenzo Mabuni's seitō (orthodox) line,proposed
kotaka-ha-shito-ryu,shito-ryu,Shitō-ryū,,japanese,,,[wave4] Chuzo Kotaka's school,proposed
kuniba-ryu,motobu-ha-shito-ryu,Motobu-ha Shitō-ryū,,japanese,,,[wave4] Kuniba family's Motobu-ha,proposed
kenshikai,goju-ryu,Gōjū-ryū,,naha-te,,,[wave4] Tetsuhiro Hokama's Kenshikai (Gōjū + kobudō),proposed
nisei-goju,goju-ryu,Gōjū-ryū,,naha-te,,,[wave4] Peter Urban's American Nisei Gōjū,proposed
shogen-ryu,matsubayashi-ryu,Matsubayashi-ryū,,shuri-te,,,[wave4] Taba Kensei's post-Nagamine branch,proposed
Shorinji-ryu,shorinji-ryu,Shōrinji-ryū,,shuri-te,,,[wave4],proposed
pangai-noon,uechi-ryu,Uechi-ryū,,uechi-ryu,,,[wave4] Original name of Kanbun Uechi's art,proposed
tozan-ryu,shorin-ryu,Shōrin-ryū,,shuri-te,,,[wave4] Seiki Toma's school label,proposed
yuishinkai,ryukyu-kobudo,Ryūkyū kobudō,,kobudo,,,[wave4] Motokatsu Inoue's kobujutsu organisation,proposed
Shorin-ryu,shorin-ryu,Shōrin-ryū,,shuri-te,,,[wave4],proposed
Shorin-ryu (Sukunai Hayashi),shobayashi-shorin-ryu,Shōbayashi Shōrin-ryū,,shuri-te,,,[wave4] Sukunaihayashi = Shōbayashi (Kyan/Eizo Shimabukuro line),proposed
Dentokan,seidokan,Seidokan,,shuri-te,,,"[wave4] Roy Hobbs' organisation, from the Toma Seidokan line",proposed
Jindokai,shorin-ryu,Shōrin-ryū,,shuri-te,,,[wave4] Organisation label carried alongside Seidokan/Shorin-ryu,proposed
koei-kan,koei-kan,Kōei-kan,shudokan,japanese,Eizo Onishi,1952,"[wave4] Eizo Onishi's style (Kanken Toyama / Juhatsu Kyoda lineage) | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, ",proposed
american-kenpo,american-kenpo,American Kenpo,kara-ho-kempo,kenpo,Ed Parker,1954,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/American_Kenpo | https://en.wikipedia.org/wiki/Ed_Parker",proposed
ed-parker-kenpo,american-kenpo,American Kenpo,kara-ho-kempo,kenpo,Ed Parker,1954,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/American_Kenpo | https://en.wikipedia.org/wiki/Ed_Parker",proposed
kenpo-karate,american-kenpo,American Kenpo,kara-ho-kempo,kenpo,Ed Parker,1954,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/American_Kenpo | https://en.wikipedia.org/wiki/Ed_Parker",proposed
New International Karate Organization,ashihara,Ashihara Karate,kyokushin,kyokushin,Hideyuki Ashihara,1980,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Ashi",proposed
bugeikan,bugeikan,Bugeikan,te,te,Higa Seitoku,1951,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] http://londonschoolofkarate.com/2018/07/03/what-does-bugeikan-mean/ | https://ilpracticalkarate.com/k",proposed
(synthetic),bunbukan,Okinawa Dentō Kobudō Hozonkai Bunbukan,ryukyu-kobudo,kobudo,Nakamoto Masahiro,1982,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] http://www.theokinawan.com/kobudobook.php | https://www.patreon.com/posts/nakamoto-106131775",proposed
Okinawa Dentō Kobudō Hozonkai Bunbukan,bunbukan,Okinawa Dentō Kobudō Hozonkai Bunbukan,ryukyu-kobudo,kobudo,Nakamoto Masahiro,1982,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] http://www.theokinawan.com/kobudobook.php | https://www.patreon.com/posts/nakamoto-106131775",proposed
(synthetic),chang-moo-kwan,Chang Moo Kwan,taekwondo,korean,Yoon Byung-in,1946,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chan",proposed
Chang Moo Kwan,chang-moo-kwan,Chang Moo Kwan,taekwondo,korean,Yoon Byung-in,1946,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chan",proposed
Changmookwan,chang-moo-kwan,Chang Moo Kwan,taekwondo,korean,Yoon Byung-in,1946,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chan",proposed
YMCA Kwon Bup Bu,chang-moo-kwan,Chang Moo Kwan,taekwondo,korean,Yoon Byung-in,1946,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chan",proposed
(synthetic),chinese-goju,Chinese Gōjū,usa-goju,naha-te,Ron Van Clief,1971,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Ron_van_Clief | https://ronvanclief.com/chinesegoju.html",proposed
Chinese Gōjū,chinese-goju,Chinese Gōjū,usa-goju,naha-te,Ron Van Clief,1971,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Ron_van_Clief | https://ronvanclief.com/chinesegoju.html",proposed
chinese-goju,chinese-goju,Chinese Gōjū,usa-goju,naha-te,Ron Van Clief,1971,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Ron_van_Clief | https://ronvanclief.com/chinesegoju.html",proposed
chuck-norris-system,chun-kuk-do,Chun Kuk Do,tang-soo-do,korean,Chuck Norris,1990,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/Chun_Kuk_Do",proposed
chun-kuk-do,chun-kuk-do,Chun Kuk Do,tang-soo-do,korean,Chuck Norris,1990,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/Chun_Kuk_Do",proposed
(synthetic),chung-do-kwan,Chung Do Kwan,taekwondo,korean,Won Kuk Lee,1944,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chun",proposed
Chung Do Kwan,chung-do-kwan,Chung Do Kwan,taekwondo,korean,Won Kuk Lee,1944,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chun",proposed
Chungdokwan,chung-do-kwan,Chung Do Kwan,taekwondo,korean,Won Kuk Lee,1944,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Chun",proposed
Sabaki Challenge,enshin,Enshin Karate,ashihara,kyokushin,Jōkō Ninomiya,1988,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Ensh",proposed
(synthetic),genbu-kai,Demura-ha Shitō-ryū Genbu-kai,itosu-ryu,japanese,Fumio Demura,1999,[taxonomy:shito-ryu/confirmed] https://www.genbukai.org/ | https://en.wikipedia.org/wiki/Fumio_Demura,proposed
Demura-ha Shitō-ryū Genbu-kai,genbu-kai,Demura-ha Shitō-ryū Genbu-kai,itosu-ryu,japanese,Fumio Demura,1999,[taxonomy:shito-ryu/confirmed] https://www.genbukai.org/ | https://en.wikipedia.org/wiki/Fumio_Demura,proposed
Genbu-Kai,genbu-kai,Demura-ha Shitō-ryū Genbu-kai,itosu-ryu,japanese,Fumio Demura,1999,[taxonomy:shito-ryu/confirmed] https://www.genbukai.org/ | https://en.wikipedia.org/wiki/Fumio_Demura,proposed
Shito-Ryu Karate-Do Genbu-Kai International,genbu-kai,Demura-ha Shitō-ryū Genbu-kai,itosu-ryu,japanese,Fumio Demura,1999,[taxonomy:shito-ryu/confirmed] https://www.genbukai.org/ | https://en.wikipedia.org/wiki/Fumio_Demura,proposed
(synthetic),genseiryu,Genseiryū,shuri-te,shuri-te,Shukumine Seiken,1953,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Genseiry%C5%AB",proposed
Gensei-ryu,genseiryu,Genseiryū,shuri-te,shuri-te,Shukumine Seiken,1953,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Genseiry%C5%AB",proposed
Genseiryū,genseiryu,Genseiryū,shuri-te,shuri-te,Shukumine Seiken,1953,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Genseiry%C5%AB",proposed
gensei-ryu,genseiryu,Genseiryū,shuri-te,shuri-te,Shukumine Seiken,1953,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Genseiry%C5%AB",proposed
IKGA,goju-kai,Goju-Kai,goju-ryu,naha-te,Gogen Yamaguchi,1950,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dgen_Yamaguchi | https://www.gojukaikaratedo.com/IKGA-Management.php?sectionid=ingodejong",proposed
JKGA,goju-kai,Goju-Kai,goju-ryu,naha-te,Gogen Yamaguchi,1950,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dgen_Yamaguchi | https://www.gojukaikaratedo.com/IKGA-Management.php?sectionid=ingodejong",proposed
goju-kai,goju-kai,Goju-Kai,goju-ryu,naha-te,Gogen Yamaguchi,1950,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dgen_Yamaguchi | https://www.gojukaikaratedo.com/IKGA-Management.php?sectionid=ingodejong",proposed
剛柔会,goju-kai,Goju-Kai,goju-ryu,naha-te,Gogen Yamaguchi,1950,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dgen_Yamaguchi | https://www.gojukaikaratedo.com/IKGA-Management.php?sectionid=ingodejong",proposed
(synthetic),goju-kai-usa,Gōjū-Kai Karate-dō USA,goju-kai,naha-te,Gosei Yamaguchi,1964,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://www.gojukai.com/about/ | https://www.usadojo.com/gosei-yamaguchi/",proposed
Gōjū-Kai Karate-dō USA,goju-kai-usa,Gōjū-Kai Karate-dō USA,goju-kai,naha-te,Gosei Yamaguchi,1964,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://www.gojukai.com/about/ | https://www.usadojo.com/gosei-yamaguchi/",proposed
goju-kai-usa,goju-kai-usa,Gōjū-Kai Karate-dō USA,goju-kai,naha-te,Gosei Yamaguchi,1964,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://www.gojukai.com/about/ | https://www.usadojo.com/gosei-yamaguchi/",proposed
(synthetic),goju-kensha,Gōjū Kensha,senbukan,naha-te,Tadahiko Otsuka,1970,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://jamessumarac.com/an-interview-with-sensei-tadahiko-ohtsuka-part-1/ | https://kinshinkai.com/about-us-our-formative-influences-goju-",proposed
Gōjū Kensha,goju-kensha,Gōjū Kensha,senbukan,naha-te,Tadahiko Otsuka,1970,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://jamessumarac.com/an-interview-with-sensei-tadahiko-ohtsuka-part-1/ | https://kinshinkai.com/about-us-our-formative-influences-goju-",proposed
goju-kensha,goju-kensha,Gōjū Kensha,senbukan,naha-te,Tadahiko Otsuka,1970,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://jamessumarac.com/an-interview-with-sensei-tadahiko-ohtsuka-part-1/ | https://kinshinkai.com/about-us-our-formative-influences-goju-",proposed
gojukensha,goju-kensha,Gōjū Kensha,senbukan,naha-te,Tadahiko Otsuka,1970,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://jamessumarac.com/an-interview-with-sensei-tadahiko-ohtsuka-part-1/ | https://kinshinkai.com/about-us-our-formative-influences-goju-",proposed
剛柔拳舎,goju-kensha,Gōjū Kensha,senbukan,naha-te,Tadahiko Otsuka,1970,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://jamessumarac.com/an-interview-with-sensei-tadahiko-ohtsuka-part-1/ | https://kinshinkai.com/about-us-our-formative-influences-goju-",proposed
Goju Ryu,goju-ryu,Goju-Ryu,naha-te,naha-te,Chojun Miyagi,1930,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dj%C5%AB-ry%C5%AB | https://www.houstonkarate.org/benefits/goju-ryu-history",proposed
goju-ryu,goju-ryu,Goju-Ryu,naha-te,naha-te,Chojun Miyagi,1930,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dj%C5%AB-ry%C5%AB | https://www.houstonkarate.org/benefits/goju-ryu-history",proposed
剛柔流,goju-ryu,Goju-Ryu,naha-te,naha-te,Chojun Miyagi,1930,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dj%C5%AB-ry%C5%AB | https://www.houstonkarate.org/benefits/goju-ryu-history",proposed
(synthetic),goshukan,Goshukan,seiwakai,naha-te,Stacey Karetsian,2007,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] https://canberra.goshukankarateacademy.com.au/lineage-and-history/",proposed
Goshukan,goshukan,Goshukan,seiwakai,naha-te,Stacey Karetsian,2007,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] https://canberra.goshukankarateacademy.com.au/lineage-and-history/",proposed
goshukan,goshukan,Goshukan,seiwakai,naha-te,Stacey Karetsian,2007,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] https://canberra.goshukankarateacademy.com.au/lineage-and-history/",proposed
Gosoku Ryu,gosoku-ryu,Gosoku-Ryu,shotokan,japanese,Takayuki Kubota,1953,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/plausible] https://en.wikipedia.org/wiki/G%C5",proposed
International Karate Association,gosoku-ryu,Gosoku-Ryu,shotokan,japanese,Takayuki Kubota,1953,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/plausible] https://en.wikipedia.org/wiki/G%C5",proposed
(synthetic),han-moo-kwan,Han Moo Kwan,ji-do-kwan,korean,Lee Kyo-yoon,1954,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Han_",proposed
Han Moo Kwan,han-moo-kwan,Han Moo Kwan,ji-do-kwan,korean,Lee Kyo-yoon,1954,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Han_",proposed
Hanmookwan,han-moo-kwan,Han Moo Kwan,ji-do-kwan,korean,Lee Kyo-yoon,1954,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Han_",proposed
Hayashi-Ha Shitoryu-Kai,hayashi-ha-shito-ryu,Hayashi-ha Shitō-ryū,shito-ryu,japanese,Teruo Hayashi,1970,[taxonomy:shito-ryu/confirmed] https://www.internationalshitoryu.com/aboutus/organization-chart/hayashi-teruo/ | http://www.hayashiha.jp/english/,proposed
(synthetic),inoue-ha-shito-ryu,Inoue-ha Shitō-ryū Keishin-kai,hayashi-ha-shito-ryu,japanese,Yoshimi Inoue,2004,[taxonomy:shito-ryu/plausible] https://www.inoue-ha-karate.com/about/yoshimi-inoue/ | http://findingkarate.com/wordpress/spotlight-yoshimi-inoue-trainer-of-champions/,proposed
Inoue-ha Shito-ryu,inoue-ha-shito-ryu,Inoue-ha Shitō-ryū Keishin-kai,hayashi-ha-shito-ryu,japanese,Yoshimi Inoue,2004,[taxonomy:shito-ryu/plausible] https://www.inoue-ha-karate.com/about/yoshimi-inoue/ | http://findingkarate.com/wordpress/spotlight-yoshimi-inoue-trainer-of-champions/,proposed
Inoue-ha Shitō-ryū Keishin-kai,inoue-ha-shito-ryu,Inoue-ha Shitō-ryū Keishin-kai,hayashi-ha-shito-ryu,japanese,Yoshimi Inoue,2004,[taxonomy:shito-ryu/plausible] https://www.inoue-ha-karate.com/about/yoshimi-inoue/ | http://findingkarate.com/wordpress/spotlight-yoshimi-inoue-trainer-of-champions/,proposed
Keishin-kai,inoue-ha-shito-ryu,Inoue-ha Shitō-ryū Keishin-kai,hayashi-ha-shito-ryu,japanese,Yoshimi Inoue,2004,[taxonomy:shito-ryu/plausible] https://www.inoue-ha-karate.com/about/yoshimi-inoue/ | http://findingkarate.com/wordpress/spotlight-yoshimi-inoue-trainer-of-champions/,proposed
(synthetic),iogkf,IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation),goju-ryu,naha-te,Morio Higaonna,1979,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Morio_Higaonna",proposed
IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation),iogkf,IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation),goju-ryu,naha-te,Morio Higaonna,1979,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Morio_Higaonna",proposed
iogkf,iogkf,IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation),goju-ryu,naha-te,Morio Higaonna,1979,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Morio_Higaonna",proposed
(synthetic),isshin-ryu-kobudo,Isshin-ryū Kobudō,ryukyu-kobudo,kobudo,Shimabuku Tatsuo,,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Isshin-ry%C5%AB | https://en.wikipedia.org/wiki/Tatsuo_Shimabuku",proposed
Isshin-ryū Kobudō,isshin-ryu-kobudo,Isshin-ryū Kobudō,ryukyu-kobudo,kobudo,Shimabuku Tatsuo,,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Isshin-ry%C5%AB | https://en.wikipedia.org/wiki/Tatsuo_Shimabuku",proposed
(synthetic),itf-taekwondo,ITF Taekwon-Do,taekwondo,korean,Choi Hong-hi,1966,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Inte",proposed
Chang Hon taekwondo,itf-taekwondo,ITF Taekwon-Do,taekwondo,korean,Choi Hong-hi,1966,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Inte",proposed
ITF Taekwon-Do,itf-taekwondo,ITF Taekwon-Do,taekwondo,korean,Choi Hong-hi,1966,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Inte",proposed
International Taekwon-Do Federation,itf-taekwondo,ITF Taekwon-Do,taekwondo,korean,Choi Hong-hi,1966,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Inte",proposed
Itosu-kai,itosu-ryu,Itosu-Ryu,shito-ryu,japanese,Ryusho Sakagami,1969,[taxonomy:shito-ryu/confirmed] https://www.itosu-ryu.net/history | https://en.wikipedia.org/wiki/Shit%C5%8D-ry%C5%AB,proposed
Japan Karatedo Itosu-kai,itosu-ryu,Itosu-Ryu,shito-ryu,japanese,Ryusho Sakagami,1969,[taxonomy:shito-ryu/confirmed] https://www.itosu-ryu.net/history | https://en.wikipedia.org/wiki/Shit%C5%8D-ry%C5%AB,proposed
(synthetic),ji-do-kwan,Ji Do Kwan,taekwondo,korean,"Chun Sang-sup (as Chosun Yun Mu Kwan Kwon Bup Bu; renamed Jidokwan under Yun Kwae-byung, 1953)",1946,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Kwan",proposed
Ji Do Kwan,ji-do-kwan,Ji Do Kwan,taekwondo,korean,"Chun Sang-sup (as Chosun Yun Mu Kwan Kwon Bup Bu; renamed Jidokwan under Yun Kwae-byung, 1953)",1946,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/Kwan",proposed
