kata,person,person_as_written,person_id,in_dataset,role,era,disputed
Naihanchi,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,19th century or earlier; Nidan and Sandan c. 1900,
Nidanbu,Soko Kishimoto,Soko Kishimoto,C00550,yes,created,late 19th-early 20th century,
Nidanbu,Seitoku Higa,Seitoku Higa,C00494,yes,brought,late 19th-early 20th century,
Nidanbu,Kiyohiko Higa,Kiyohiko Higa,C00253,yes,standardised,late 19th-early 20th century,
Niseishi,Seisho Arakaki,Seisho Arakaki,Q584466,yes,created,19th century,
Niseishi,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,standardised,19th century,
Niseishi,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,19th century,
Passai,Anko Itosu,Anko Itosu,Q527422,yes,standardised,by the mid-19th century; origins unknown,
Passai,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,by the mid-19th century; origins unknown,
Passai Sho,Anko Itosu,Anko Itosu,Q527422,yes,created,late 19th century,
Passai Sho,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,late 19th century,
Pinan,Anko Itosu,Anko Itosu,Q527422,yes,created,1904-1907 (introduced into Okinawan school physical education),
Pinan,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,1904-1907 (introduced into Okinawan school physical education),
"Rohai Shodan, Nidan, Sandan",Anko Itosu,Anko Itosu,Q527422,yes,created,c. 1900s,
"Rohai Shodan, Nidan, Sandan",Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,standardised,c. 1900s,
"Rohai Shodan, Nidan, Sandan",Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,c. 1900s,
Seisan,Sokon Matsumura,Sokon Matsumura,Q715769,yes,standardised,19th century or earlier,
Seisan,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,standardised,19th century or earlier,
Seisan,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,19th century or earlier,
Shiho Kusanku,Anko Itosu,Anko Itosu (attributed),Q527422,yes,originated,c. 1900s,
Shiho Kusanku,Anko Itosu,Anko Itosu,Q527422,yes,created,c. 1900s,
Shiho Kusanku,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,standardised,c. 1900s,
Shinpa,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,created,c. 1930s-1940s,
Shinsei,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,created,c. 1940s,
Shiro Kuma,Choki Motobu,Choki Motobu (attributed),Q1147708,yes,originated,early 20th century (c. 1920s-1940s),
Shiro Kuma,Choki Motobu,Choki Motobu,Q1147708,yes,created,early 20th century (c. 1920s-1940s),
Sochin,Seisho Arakaki,Seisho Arakaki,Q584466,yes,created,mid-to-late 19th century; Shotokan version 1930s,
Sochin,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,standardised,mid-to-late 19th century; Shotokan version 1930s,
Sochin,Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,standardised,mid-to-late 19th century; Shotokan version 1930s,
Sunsu,Tatsuo Shimabuku,Tatsuo Shimabuku,Q27363,yes,created,c. 1947-1956,
Tachimura no Kusanku,Kusanku,Kusanku,Q1929108,yes,brought,19th century (Kusanku tradition c. 1750s),
Tachimura no Kusanku,Tachimura no Peichin,Tachimura no Peichin,A0018,yes,standardised,19th century (Kusanku tradition c. 1750s),
Tachimura no Kusanku,Soko Kishimoto,Soko Kishimoto,C00550,yes,brought,19th century (Kusanku tradition c. 1750s),
Tachimura no Kusanku,Kiyohiko Higa,Kiyohiko Higa,C00253,yes,standardised,19th century (Kusanku tradition c. 1750s),
Tachimura no Naihanchi,Tachimura no Peichin,Tachimura no Peichin,A0018,yes,standardised,19th century,
Tachimura no Naihanchi,Soko Kishimoto,Soko Kishimoto,C00550,yes,brought,19th century,
Tachimura no Naihanchi,Seitoku Higa,Seitoku Higa,C00494,yes,brought,19th century,
Tachimura no Naihanchi,Kiyohiko Higa,Kiyohiko Higa,C00253,yes,standardised,19th century,
Tachimura no Passai,Tachimura no Peichin,Tachimura no Peichin,A0018,yes,standardised,19th century,
Tachimura no Passai,Soko Kishimoto,Soko Kishimoto,C00550,yes,brought,19th century,
Tachimura no Passai,Seitoku Higa,Seitoku Higa,C00494,yes,brought,19th century,
Tachimura no Passai,Kiyohiko Higa,Kiyohiko Higa,C00253,yes,standardised,19th century,
Unsu,Seisho Arakaki,Seisho Arakaki,Q584466,yes,created,19th century,
Unsu,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,standardised,19th century,
"Kasshindi (Ichi, Ni, San)",Seikichi Uehara,Seikichi Uehara,C00478,yes,created,20th century,
Mekata (Anji-kata no Mekata),Choyu Motobu,Choyu Motobu,Q706389,yes,brought,claimed Ryukyu Kingdom era; documented 20th century,
Mekata (Anji-kata no Mekata),Seikichi Uehara,Seikichi Uehara,C00478,yes,standardised,claimed Ryukyu Kingdom era; documented 20th century,
Mekata (Anji-kata no Mekata),Seitoku Higa,Seitoku Higa,C00494,yes,standardised,claimed Ryukyu Kingdom era; documented 20th century,
Motode Ichi and Ni,Choyu Motobu,Choyu Motobu,Q706389,yes,brought,formalised 20th century; tradition claims 17th-century palace roots,
Motode Ichi and Ni,Seikichi Uehara,Seikichi Uehara,C00478,yes,standardised,formalised 20th century; tradition claims 17th-century palace roots,
Rinkan,Seiyu Nakasone,Seiyu Nakasone,C00293,yes,brought,19th-early 20th century (documentation 20th century),
Rinkan,Iken Tokashiki,Tokashiki Iken,A0212,yes,standardised,19th-early 20th century (documentation 20th century),
Tomari Chinto,Chinto,"Chintō (shipwrecked Chinese sailor, per folklore)",KN001,yes,originated,mid 19th century,
Tomari Chinto,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,mid 19th century,
Tomari Chinto,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,brought,mid 19th century,
Tomari Chinto,Shoshin Nagamine,Shoshin Nagamine,Q1963468,yes,standardised,mid 19th century,
Tomari Chinto,Tatsuo Shimabuku,Tatsuo Shimabuku,Q27363,yes,standardised,mid 19th century,
Tomari Kusanku,Kusanku,"Kusanku (Chinese envoy, per tradition)",Q1929108,yes,originated,19th century (Kusanku tradition c. 1750s),
Tomari Kusanku,Kusanku,Kusanku,Q1929108,yes,brought,19th century (Kusanku tradition c. 1750s),
Tomari Kusanku,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,19th century (Kusanku tradition c. 1750s),
Tomari Kusanku,Kodatsu Iha,Kodatsu Iha,C00261,yes,brought,19th century (Kusanku tradition c. 1750s),
Tomari Kusanku,Iken Tokashiki,Tokashiki Iken,A0212,yes,standardised,19th century (Kusanku tradition c. 1750s),
Tomari Naihanchi,Karyu Uku,Karyu Uku,C00206,yes,brought,early 19th century,
Tomari Naihanchi,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,early 19th century,
Tomari Naihanchi,Iken Tokashiki,Tokashiki Iken,A0212,yes,standardised,early 19th century,
Tomari Passai,Kishin Teruya,Kishin Teruya,C00251,yes,brought,early-to-mid 19th century,
Tomari Passai,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,early-to-mid 19th century,
Tomari Passai,Kokan Oyadomari,Kokan Oyadomari,Q6426547,yes,standardised,early-to-mid 19th century,
Tomari Passai,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,brought,early-to-mid 19th century,
Tomari Rohai,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,19th century,
Tomari Rohai,Kodatsu Iha,Kodatsu Iha,C00261,yes,brought,19th century,
Tomari Rohai,Shoshin Nagamine,Shoshin Nagamine,Q1963468,yes,standardised,19th century,
Wando,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,brought,19th century (attributed),
Wankan,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,19th century,
Wankan,Kodatsu Iha,Kodatsu Iha,C00261,yes,brought,19th century,
Wankan,Shoshin Nagamine,Shoshin Nagamine,Q1963468,yes,standardised,19th century,
Wankan,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,renamed,19th century,
Wanshu,Wang Ji,"Wang Ji (Wanshū), per folklore",C00641,yes,originated,folklore origin 1683; documented transmission 19th century,
Wanshu,Kishin Teruya,Kishin Teruya,C00251,yes,brought,folklore origin 1683; documented transmission 19th century,
Wanshu,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,folklore origin 1683; documented transmission 19th century,
Wanshu,Maeda Pechin,Maeda Pechin,C00195,yes,brought,folklore origin 1683; documented transmission 19th century,
Wanshu,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,brought,folklore origin 1683; documented transmission 19th century,
Wanshu,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,folklore origin 1683; documented transmission 19th century,
Wansu,Wang Ji,Wang Ji (Wanshū; folklore attribution),C00641,yes,originated,folklore places the source visit in 1683; kata documented from the 19th century,
Wansu,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,folklore places the source visit in 1683; kata documented from the 19th century,
Wansu,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,standardised,folklore places the source visit in 1683; kata documented from the 19th century,
Wansu,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,folklore places the source visit in 1683; kata documented from the 19th century,
Kanchin,Kanei Uechi,Kanei Uechi,Q1728269,yes,created,1960,
Kanshiwa,Kanei Uechi,Kanei Uechi (with Saburo Uehara),Q1728269,yes,originated,c. 1947-1950s,
Kanshiwa,Kanei Uechi,Kanei Uechi,Q1728269,yes,created,c. 1947-1950s,
Kanshiwa,Saburo Uehara,Saburo Uehara,C00444,yes,created,c. 1947-1950s,
Kanshu,Seiki Itokazu,Seiki Itokazu,C00480,yes,created,c. 1950s,
Sanseiryu,Shu Shiwa,Shu Shiwa (Zhou Zihe) (transmitted; ultimate creator unknown),,"group or body, not an individual",originated,Qing-era China; learned by Kanbun Uechi c. 1897-1907,
Sanseiryu,Kanbun Uechi,Kanbun Uechi,Q2473562,yes,brought,Qing-era China; learned by Kanbun Uechi c. 1897-1907,
Sanseiryu,Kanei Uechi,Kanei Uechi,Q1728269,yes,standardised,Qing-era China; learned by Kanbun Uechi c. 1897-1907,
Seichin,Saburo Uehara,Saburo Uehara,C00444,yes,created,c. 1954-1955,
Seichin,Kanei Uechi,Kanei Uechi,Q1728269,yes,standardised,c. 1954-1955,
Seiryu,Kanei Uechi,Kanei Uechi,Q1728269,yes,created,c. 1950,
Seisan (Uechi),Shu Shiwa,Shu Shiwa (Zhou Zihe) (transmitted; ultimate creator unknown),,"group or body, not an individual",originated,Qing-era China; learned by Kanbun Uechi c. 1897-1907,
Seisan (Uechi),Kanbun Uechi,Kanbun Uechi,Q2473562,yes,brought,Qing-era China; learned by Kanbun Uechi c. 1897-1907,
Seisan (Uechi),Kanei Uechi,Kanei Uechi,Q1728269,yes,standardised,Qing-era China; learned by Kanbun Uechi c. 1897-1907,
