id,label,parent,family,founder,founded,ancestry,n_people,aliases
seiken-kaikan,Seiken Kaikan (聖拳会館),kyokushin,kyokushin,Yasuto Ōnishi,,Seiken Kaikan (聖拳会館) < Kyokushin < Shotokan < Shuri-te < Te,0,
shidokan,Shidokan,kyokushin,kyokushin,Yoshiji Soeno,1981,Shidokan < Kyokushin < Shotokan < Shuri-te < Te,3,Shidokan Karate; World Karate Association Shidokan
shinkyokushin,Shinkyokushin,kyokushin,kyokushin,Kenji Midori,2003,Shinkyokushin < Kyokushin < Shotokan < Shuri-te < Te,6,IKO-2 (Midori group); Shinkyokushin; Shinkyokushinkai; Shinkyokushinkai Karate; WKO; World Karate Organization (WKO); World Karate Organization Shinkyokushinkai; 新極真会
so-kyokushin,World So-Kyokushin (世界総極真),kyokushin,kyokushin,Kazuyuki Hasegawa and Daigo Ōishi; Ōishi representative from April 2017,2012,World So-Kyokushin (世界総極真) < Kyokushin < Shotokan < Shuri-te < Te,0,
wajutsu-keishukai,Wajutsu Keishūkai (和術慧舟會),kudo,kyokushin,Yoshinori Nishi,1987,Wajutsu Keishūkai (和術慧舟會) < Kudo < Kyokushin < Shotokan < Shuri-te < Te,0,
world-oyama,World Oyama Karate,kyokushin,kyokushin,Shigeru Ōyama,1985,World Oyama Karate < Kyokushin < Shotokan < Shuri-te < Te,3,Oyama Karate (USA); World Oyama Karate
zen-kyokushin,World Zen-Kyokushin (世界全極真),kyokushin,kyokushin,Kazuyuki Hasegawa (sōshi); Takuma Kōketsu representative,2019,World Zen-Kyokushin (世界全極真) < Kyokushin < Shotokan < Shuri-te < Te,0,
zendokai,Zendōkai,kudo,kyokushin,Takashi Ozawa,1999,Zendōkai < Kudo < Kyokushin < Shotokan < Shuri-te < Te,0,Karate-dō Zendōkai; Zendōkai; 禅道会
chinese-goju,Chinese Gōjū,usa-goju,naha-te,Ron Van Clief,1971,Chinese Gōjū < USA Gōjū (American Gōjū) < Goju-Kai < Goju-Ryu < Naha-te < Te,1,Chinese Goju System; Chinese Gōjū; chinese-goju
gohakukai,Gōhaku-kai,shodokan-goju-ryu,naha-te,Iken Tokashiki,1982,Gōhaku-kai < Shodokan Goju-Ryu < Goju-Ryu < Naha-te < Te,1,Gohaku-kai; Gohaku-ryu; Gohakukai-ryu; Goju-ryu Tomari-te Karate-do Kyokai; Gōhaku-kai; Okinawa Goju-ryu Tomari-te Karate-do Kyokai
goju-kai,Goju-Kai,goju-ryu,naha-te,Gogen Yamaguchi,1950,Goju-Kai < Goju-Ryu < Naha-te < Te,16,All Japan Karate-do Gojukai; Goju-Kai; Gojukai; IKGA; JKGA; Japan Karate-do Gojukai; Yamaguchi-ha Goju-ryu; goju-kai; gojukai; 剛柔会
goju-kai-usa,Gōjū-Kai Karate-dō USA,goju-kai,naha-te,Gosei Yamaguchi,1964,Gōjū-Kai Karate-dō USA < Goju-Kai < Goju-Ryu < Naha-te < Te,1,Goju-Kai Karate-do U.S.A.; Gōjū-Kai Karate-dō USA; goju-kai-usa
goju-kensha,Gōjū Kensha,senbukan,naha-te,Tadahiko Otsuka,1970,Gōjū Kensha < Senbukan < Shodokan Goju-Ryu < Goju-Ryu < Naha-te < Te,1,Goju Kensha Karate-do Federation; Gōjū Kensha; goju-kensha; gojukensha; 剛柔拳舎
goju-ryu,Goju-Ryu,naha-te,naha-te,Chojun Miyagi,1930,Goju-Ryu < Naha-te < Te,129,Goju Kan; Goju Ryu; Goju-Ryu; Goju-Ryu Karate-do; Goju-Ryu Karate-do Kyokai; Goju-ryu karate; Gojuryu; International Okinawan Goju-Ryu Karate-do Federation; goju-ryu; gojukan; gojuryu; gojuryukenkyukai; kenshikai; nisei-goju; shobukan; 剛柔流
goju-ryu-bujutsukan,Gōjū-ryū Bujutsukan (剛柔流武術館),goju-ryu,naha-te,An'ichi Miyagi,,Gōjū-ryū Bujutsukan (剛柔流武術館) < Goju-Ryu < Naha-te < Te,1,
goshukan,Goshukan,seiwakai,naha-te,Stacey Karetsian,2007,Goshukan < Seiwakai < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Goshukan; goshukan
goshukan-international,Gojuryu Karatedo Goshukan International,kenwakai,naha-te,Desmond Tuck,2019,Gojuryu Karatedo Goshukan International < Kenwakai < Seiwakai < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Gojuryu Karatedo Goshukan International; International Goju Karatedo Goshukan
harlem-goju,Harlem Gōjū,usa-goju,naha-te,Sam McGee,1973,Harlem Gōjū < USA Gōjū (American Gōjū) < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Harlem Goju Association; Harlem Gōjū
ikga,IKGA (International Karate-dō Gōjū-kai Association),goju-kai,naha-te,Gōgen Yamaguchi,1965,IKGA (International Karate-dō Gōjū-kai Association) < Goju-Kai < Goju-Ryu < Naha-te < Te,2,IKGA (International Karate-dō Gōjū-kai Association); Yamaguchi Goju-kai
imgka,International Meibukan Gōjū-ryū Karate-dō Association (IMGKA),meibukan,naha-te,Meitatsu Yagi (first president),,International Meibukan Gōjū-ryū Karate-dō Association (IMGKA) < Meibukan < Goju-Ryu < Naha-te < Te,3,IMGKA; International Meibukan Gojyu Ryu Karate Association; International Meibukan Gōjū-ryū Karate-dō Association (IMGKA)
iogkf,IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation),goju-ryu,naha-te,Morio Higaonna,1979,IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation) < Goju-Ryu < Naha-te < Te,11,An'ichi Miyagi lineage; IOGKF; IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation); iogkf
jundokan,Jundokan,goju-ryu,naha-te,Eiichi Miyazato,1957,Jundokan < Goju-Ryu < Naha-te < Te,14,Jundokan; jundokan; 順道館
jundokan-international,Jundokan International,jundokan,naha-te,Teruo Chinen,1987,Jundokan International < Jundokan < Goju-Ryu < Naha-te < Te,1,Jundokan International; Jundokan International Goju-ryu
kanzen-goju,Kanzen Gōjū-ryū,nisei-goju,naha-te,Harry Rosenstein,1974,Kanzen Gōjū-ryū < Nisei Gōjū < USA Gōjū (American Gōjū) < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Kanzen Goju Kai; Kanzen Gōjū-ryū
ken-shin-kan,Ken-Shin-Kan,shodokan-goju-ryu,naha-te,Seiichi Akamine,1968,Ken-Shin-Kan < Shodokan Goju-Ryu < Goju-Ryu < Naha-te < Te,1,Escuela Superior Ken-Shin-Kan; Ken-Shin-Kan
kenshikai,Kenshikai,shodokan-goju-ryu,naha-te,Tetsuhiro Hokama,1978,Kenshikai < Shodokan Goju-Ryu < Goju-Ryu < Naha-te < Te,0,Kenshikai; Okinawa Goju-ryu Kenshi-kai Karate-do Kobudo Association; kenshi-kai; 拳志会; 研心会
kenwakai,Kenwakai,seiwakai,naha-te,Akio Takahashi,1985,Kenwakai < Seiwakai < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Gojuryu Karatedo Kenwakai; Kenwakai
komeikan,Kōmeikan (講明館) — Karate-dō Gōjū-ryū Sōke Kōmeikan,goju-ryu,naha-te,Takashi (Kei) Miyagi 宮城敬,1955,Kōmeikan (講明館) — Karate-dō Gōjū-ryū Sōke Kōmeikan < Goju-Ryu < Naha-te < Te,3,
kuyukai,Kuyūkai,goju-ryu,naha-te,Osamu Hirano,1968,Kuyūkai < Goju-Ryu < Naha-te < Te,0,Kuyūkai; Nihon Goju-ryu Karate-do Kuyukai International; ku-yu-kai; kuyukai
meibukan,Meibukan,goju-ryu,naha-te,Meitoku Yagi,1952,Meibukan < Goju-Ryu < Naha-te < Te,11,Meibukan; Meibukan Gojyu-ryu; meibukan; 明武舘; 明武館
naha-te,Naha-te,te,naha-te,Kanryo Higashionna,1926,Naha-te < Te,16,Naha-te
nihon-seibukan,Nippon Seibukan (日本正武館),goju-ryu,naha-te,Masafumi Suzuki,1955,Nippon Seibukan (日本正武館) < Goju-Ryu < Naha-te < Te,2,Nippon Seibukan (日本正武館); 日本正武館
nisei-goju,Nisei Gōjū,usa-goju,naha-te,Frank Ruiz,1969,Nisei Gōjū < USA Gōjū (American Gōjū) < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Nisei Goju-Ryu; Nisei Goju-Ryu Karate Organization; Nisei Gōjū; nisei-goju-ryu
okinawa-goju-ryu-kenkyukai,Okinawa Gōjū-ryū Kenkyūkai,jundokan,naha-te,Masaji Taira,2011,Okinawa Gōjū-ryū Kenkyūkai < Jundokan < Goju-Ryu < Naha-te < Te,1,Goju-ryu Kenkyukai; Okinawa Goju Ryu Research Society; Okinawa Gōjū-ryū Kenkyūkai; Taira Kenkyukai
okinawa-goju-ryu-kyokai,"Okinawa Gōjū-ryū Karate-dō Kyōkai (沖縄剛柔流空手道協会, OGKK)",jundokan,naha-te,Eiichi Miyazato,1969,"Okinawa Gōjū-ryū Karate-dō Kyōkai (沖縄剛柔流空手道協会, OGKK) < Jundokan < Goju-Ryu < Naha-te < Te",1,"Okinawa Gōjū-ryū Karate-dō Kyōkai (沖縄剛柔流空手道協会, OGKK); 沖縄剛柔流空手道協会"
ryuei-ryu,Ryuei-Ryu,naha-te,naha-te,Nakaima Norisato,1971,Ryuei-Ryu < Naha-te < Te,5,Ryuei Ryu; Ryuei-Ryu; Ryueiryu; Ryuyei-ryu; ryuei-ryu; 劉衛流
ryuei-ryu-hozonkai,Ryūei-ryū Karate Kobudō Hozonkai,ryuei-ryu,naha-te,Kenkō Nakaima,1971,Ryūei-ryū Karate Kobudō Hozonkai < Ryuei-Ryu < Naha-te < Te,1,Ryuei Ryu Karate and Kobudo Preservation Society; Ryūei-ryū Karate Kobudō Hozonkai
ryuei-ryu-ryuhokai,Ryūei-ryū Ryūhōkai (劉衛流龍鳳会),ryuei-ryu,naha-te,Sakumoto Tsuguo 佐久本嗣男,,Ryūei-ryū Ryūhōkai (劉衛流龍鳳会) < Ryuei-Ryu < Naha-te < Te,0,Ryūei-ryū Ryūhōkai (劉衛流龍鳳会); 劉衛流龍鳳会
ryushinkaikan,Ryūshinkaikan,shoreikan,naha-te,Ryugo Sakai,,Ryūshinkaikan < Shoreikan < Goju-Ryu < Naha-te < Te,1,
ryusyokai,Sekai Gōjū-ryū Ryūsyōkai,meibukan,naha-te,Shigetoshi Senaha,1999,Sekai Gōjū-ryū Ryūsyōkai < Meibukan < Goju-Ryu < Naha-te < Te,1,
sansei-goju,Sansei Gōjū,usa-goju,naha-te,Manny Saavedra,1979,Sansei Gōjū < USA Gōjū (American Gōjū) < Goju-Kai < Goju-Ryu < Naha-te < Te,0,International Sansei Goju-Ryu Organization; Sansei Gōjū; World Sansei Goju-Ryu Karate Organization
seigokan,Seigokan,goju-ryu,naha-te,Seigo Tada,1945,Seigokan < Goju-Ryu < Naha-te < Te,1,Seigokan; Seigokan Goju-ryu; seigokan; 正剛館; 聖剛館
seiwakai,Seiwakai,goju-kai,naha-te,Shuji Tasaki,1972,Seiwakai < Goju-Kai < Goju-Ryu < Naha-te < Te,2,Goju-ryu Karate-do Seiwakai; Seiwa Kai; Seiwakai; seiwakai; 誠和会
senbukan,Senbukan,shodokan-goju-ryu,naha-te,Kanki Izumigawa,1939,Senbukan < Shodokan Goju-Ryu < Goju-Ryu < Naha-te < Te,9,Izumikawa lineage; Seito Goju-ryu; Senbukan; Senbukan Dojo; senbukan; 泉武館
shobukan,Shōbukan,shoreikan,naha-te,Masanobu Shinjo,1963,Shōbukan < Shoreikan < Goju-Ryu < Naha-te < Te,0,Shobukan Goju-ryu; Shōbukan; 尚武館
shodokan-goju-ryu,Shodokan Goju-Ryu,goju-ryu,naha-te,Seko Higa,1960,Shodokan Goju-Ryu < Goju-Ryu < Naha-te < Te,8,FileSeko Higa - Shodokan Goju-Ryujpg; International Karate Kobudo Federation; Kokusai Karate Kobudo Renmei; Shodokan; Shodokan Goju-Ryu; shodokan; shodokan-goju-ryu; 尚道館
shorei-kai,International Shōrei-kai,shoreikan,naha-te,Jukō Hirakawa,,International Shōrei-kai < Shoreikan < Goju-Ryu < Naha-te < Te,0,International Shōrei-kai; Shorei-kai; World Shorei-kai Karate-do
shorei-ryu,Shorei-Ryu,naha-te,naha-te,,,Shorei-Ryu < Naha-te < Te,1,Shorei-ryu
shoreikan,Shoreikan,goju-ryu,naha-te,Seikichi Toguchi,1954,Shoreikan < Goju-Ryu < Naha-te < Te,7,Shorei-kan; Shoreikan; shoreikan; 尚礼館
shoseikan,Shōseikan,goju-kai,naha-te,Katsutoshi Ishihara,1968,Shōseikan < Goju-Kai < Goju-Ryu < Naha-te < Te,0,All-Japan Shoseikan Karate-do; Shōseikan; World Shoseikan Karate (WSK)
tenshi-goju,Tenshi Gōjū,goju-kai,naha-te,Lou Angel,1987,Tenshi Gōjū < Goju-Kai < Goju-Ryu < Naha-te < Te,0,Tenshi Goju Kai; Tenshi Gōjū
togkf,TOGKF (Traditional Okinawan Gōjū-ryū Karate-dō Federation),iogkf,naha-te,Morio Higaonna,2022,TOGKF (Traditional Okinawan Gōjū-ryū Karate-dō Federation) < IOGKF (International Okinawan Gōjū-ryū Karate-dō Federation) < Goju-Ryu < Naha-te < Te,5,
toon-kai,"Tōon-kai (東恩会, Osaka)",toon-ryu,naha-te,not named in sources found,2015,"Tōon-kai (東恩会, Osaka) < Toon-Ryu < Naha-te < Te",0,"Tōon-kai (東恩会, Osaka); 東恩会"
toon-ryu,Toon-Ryu,naha-te,naha-te,Kyoda Jūhatsu,1934,Toon-Ryu < Naha-te < Te,8,To'on-ryu; Toon-Ryu; toon-ryu; 東恩流
toon-ryu-shidokai,"Tōon-ryū Shidōkai (士道会, Fukuoka)",toon-ryu,naha-te,Yoshino Shigemasa 芳野重正,,"Tōon-ryū Shidōkai (士道会, Fukuoka) < Toon-Ryu < Naha-te < Te",0,"Tōon-ryū Shidōkai (士道会, Fukuoka); 士道会"
usa-goju,USA Gōjū (American Gōjū),goju-kai,naha-te,Peter Urban,1967,USA Gōjū (American Gōjū) < Goju-Kai < Goju-Ryu < Naha-te < Te,1,American Goju Ryu Karate Do; USA GoJu Karate; USA Gōjū (American Gōjū); Urban Goju; american-goju; urban-goju; usa-goju; usa-goju-ryu
yuishinkan,Yuishinkan,goju-ryu,naha-te,Tomoharu Kisaki,1954,Yuishinkan < Goju-Ryu < Naha-te < Te,0,Yuishinkan; Yuishinkan Goju-ryu; 唯心館
aikido,Aikido,,other,,,Aikido,5,Aikikai; Dan Aikikai
american-karate,American Karate,,other,,,American Karate,1,American Karate
asayama-ichiden-ryu,Asayama Ichiden-ryū (浅山一伝流),,other,,,Asayama Ichiden-ryū (浅山一伝流),0,
budokwai,"Budokwai, London (武道会)",judo,other,,1918,"Budokwai, London (武道会) < Judo",1,"Budokwai, London (武道会); 武道会"
bushido-kai,Bushido Kai Karate,,other,,,Bushido Kai Karate,1,Bushido Kai Karate
dai-nippon-butokukai,Dai Nippon Butokukai,,other,,1895,Dai Nippon Butokukai,25,Dai Nippon Butokukai
daien-ryu,Daien-ryū Jōjutsu (大円流杖術),,other,,,Daien-ryū Jōjutsu (大円流杖術),0,
daito-ryu,Daito-Ryu Aiki-jujutsu,,other,,,Daito-Ryu Aiki-jujutsu,9,Daito-ryu; Daito-ryu Aiki-jujutsu
dnbk-international,Dai Nippon Butoku Kai International Division (大日本武徳会国際部),dai-nippon-butokukai,other,,1965,Dai Nippon Butoku Kai International Division (大日本武徳会国際部) < Dai Nippon Butokukai,1,Dai Nippon Butoku Kai International Division (大日本武徳会国際部); 大日本武徳会国際部
fusen-ryu,Fusen-ryū Jūjutsu (不遷流),,other,Takeda Motsuge (武田物外),,Fusen-ryū Jūjutsu (不遷流),0,
hokushin-itto-ryu,Hokushin Itto-Ryu,,other,,,Hokushin Itto-Ryu,1,Hokushin Itto-ryu
hozoin-ryu,Hozoin-Ryu,,other,,,Hozoin-Ryu,1,Hozoin-ryu
igaryu-jujutsu,Igā-ryū Jūjutsu (為我流柔術),,other,,,Igā-ryū Jūjutsu (為我流柔術),0,
jigen-ryu,Jigen-Ryu,,other,,,Jigen-Ryu,3,Jigen-ryu
judo,Judo,,other,,,Judo,7,Kodokan; Kodokan Judo
karate-generic,Karate,,other,,,Karate,679,Brazilian Association of Karate; Dan Karate; Dan karate; Karate
katori-shinto-ryu,Tenshin Shoden Katori Shinto-Ryu,,other,,,Tenshin Shoden Katori Shinto-Ryu,3,Katori Shinto-ryu; Tenshin Shoden Katori Shinto-ryu
keijutsukai-aikido,Keijutsukai Aikido,aikido,other,,,Keijutsukai Aikido < Aikido,1,Keijutsukai; Keijutsukai Aikido
kito-ryu,Kito-Ryu,,other,,,Kito-Ryu,4,Kito-ryu
koga-ryu,Koga-Ryu,,other,,,Koga-Ryu,3,Koga-ryu
mugai-ryu,Mugai-Ryu,,other,,,Mugai-Ryu,1,Mugai-ryu
muso-jikiden-eishin-ryu,Muso Jikiden Eishin-Ryu,,other,,,Muso Jikiden Eishin-Ryu,1,Muso Jikiden Eishin-ryu
muso-shinden-ryu,Muso Shinden-Ryu,,other,,,Muso Shinden-Ryu,1,Muso Shinden Ryu
nanban-satto-ryu,Nanban Satto-Ryu,,other,"Hashimoto Ippusai (橋本一夫斎), as Nanban Ippō-ryū Jūjutsu (南蛮一法流柔術)",,Nanban Satto-Ryu,1,Nanban Satto-ryu
negishi-ryu,Negishi-Ryu,,other,,,Negishi-Ryu,2,Negishi-ryu
nihon-kobudo,Nihon Kobudo,,other,,,Nihon Kobudo,7,Japan Kobudo; Japanese Kobudo; Japanese kobudo; Nihon Kobudo
niten-ichi-ryu,Niten Ichi-Ryu,,other,,,Niten Ichi-Ryu,1,Gosho-ha Hyoho Niten Ichi-ryu; Niten Ichi-ryu
okinawa-dento-karate-shinkokai,"Okinawa Dentō Karate-dō Shinkōkai (沖縄伝統空手道振興会, Okinawa Traditional Karate-dō Promotion Association)",,other,,,"Okinawa Dentō Karate-dō Shinkōkai (沖縄伝統空手道振興会, Okinawa Traditional Karate-dō Promotion Association)",0,"Okinawa Dentō Karate-dō Shinkōkai (沖縄伝統空手道振興会, Okinawa Traditional Karate-dō Promotion Association); 一般社団法人沖縄伝統空手道振興会"
okinawan-karate-generic,Okinawan Karate,,other,,,Okinawan Karate,62,Okinawan Karate; Okinawan karate; Ryukyu Bujutsu Kenkyu Doyukai
ryoi-shinto-ryu,Ryoi Shinto-Ryu,,other,,,Ryoi Shinto-Ryu,2,Ryoi-shito-ryu
scrape-artefact,Scrape artefact,,other,,,Scrape artefact,27,Aji Ryukyu; Anji Ryukyu; Appointe; Australasia official site; Bakuryu Sentai Abaranger; Bank of the Ryukyus; Basse-Terre; Bill Ryusaki; Chishu Ryu; Cite; Complete; Disposition of Ryukyu; FileHuineng-tearing-sutrassvg; FilePort-authority-terminaljpg; Grand Maste; Grandmaste; Hao Taikei Ryu Knight; Headmaste; History of the Ryukyus; Inte; Invasion of Ryukyu; Karyu Uku; King of Ryukyu; Kyokugenryu; Kyoryu Boukenki Jura Tripper; Kyu-Iwasaki-tei Garden; Long Beach Press-Telegram; Los Angeles Trade-Technical College; Menkyo kai; Menkyo kaiden; MenkyoMenkyo Kaiden; Merited Maste; Ryu Mi-yong; Ryu Ryu Ko; Ryu Shaman King; Ryu ga Gotoku 3; Ryu school; Self-test of Intelligence; Shunryu Suzuki; Tenryu Saburo; The A-Team; Udun Ryukyu; United States Civil Administration of the Ryukyu Islands; United States Military Government of the Ryukyu Islands; University of the Ryukyus; Volcano and Ryukyu Islands campaign; all-terrain vehicle; counter-terrorism; inta-netsutoa-kaibu
sekiguchi-ryu,Sekiguchi-Ryu,,other,,,Sekiguchi-Ryu,2,Sekiguchi-ryu
shinden-fudo-ryu,Shinden Fudō-ryū (神傳不動流),,other,"Yata Onseisai (矢田穏清斎), who renamed the earlier Shinden Jigen-ryū / Shinden Jigan-ryū",,Shinden Fudō-ryū (神傳不動流),0,
shindo-munen-ryu,Shindō Munen-ryū (神道無念流),,other,,,Shindō Munen-ryū (神道無念流),0,
shindo-tenshin-ryu,"Shindō Tenshin-ryū Kenpō (神道天心流), later Tenshin Koryū",,other,Ueno Takashi (上野貴),,"Shindō Tenshin-ryū Kenpō (神道天心流), later Tenshin Koryū",1,
shindo-yoshin-ryu,Shindo Yoshin-Ryu,,other,,,Shindo Yoshin-Ryu,3,Shindo Yoshin-ryu; Shinto-Yoshin-ryu
shingetsu-ryu,Shingetsu-Ryu,,other,,,Shingetsu-Ryu,1,Shingetsu-ryu
shinkage-ryu,Shinkage-Ryu,,other,,,Shinkage-Ryu,1,Shinkage-ryu; Yagyu Shinkage-ryu
shinto-muso-ryu,Shinto Muso-Ryu,,other,,,Shinto Muso-Ryu,6,Kasumi Shinto-ryu Kenjutsu; Shindo Muso-ryu; Shinto Muso-ryu
shirai-ryu,Shirai-Ryu,,other,,,Shirai-Ryu,1,Shirai-ryu
shodokan-aikido,Shodokan Aikido,aikido,other,,,Shodokan Aikido < Aikido,2,Shodokan Aikido
shudokan-aikido,Shudokan Aikido,aikido,other,,,Shudokan Aikido < Aikido,1,Shudokan Aikido
takenouchi-ryu,Takenouchi-Ryu,,other,,,Takenouchi-Ryu,2,Takenouchi-ryu
tendo-ryu,Tendo-Ryu,,other,,,Tendo-Ryu,1,Tendo-ryu
tenjin-shinyo-ryu,Tenjin Shinyo-Ryu,,other,,,Tenjin Shinyo-Ryu,8,Tenjin Shinyo ryu; Tenjin Shinyo-ryu
toshin-ryu,Toshin-Ryu,,other,,,Toshin-Ryu,1,Toshin-ryu
toyama-ryu,Toyama-Ryu,,other,,,Toyama-Ryu,1,Toyama-ryu
yagyu-shingan-ryu,Yagyu Shingan-Ryu,,other,,,Yagyu Shingan-Ryu,1,Yagyu Shingan-ryu
yamamoto-ryu,Kuwana Han-den Yamamoto-Ryu,,other,,,Kuwana Han-den Yamamoto-Ryu,1,Kuwana Han-den Yamamoto-ryu
yoseikan-budo,Yoseikan Budo,,other,,,Yoseikan Budo,3,Yoseikan; Yoseikan Budo; Yoseikan Karate
yoshin-ryu,Yoshin-Ryu,,other,,,Yoshin-Ryu,2,Yoshin-ryu
yoshinkan-aikido,Yoshinkan Aikido,aikido,other,,,Yoshinkan Aikido < Aikido,4,Yoshinkan; Yoshinkan Aikido
yoshokai-aikido,Yoshokai Aikido,yoshinkan-aikido,other,,,Yoshokai Aikido < Yoshinkan Aikido < Aikido,1,Aikido Yoshokai; Yoshokai
zen-okinawa-karate-do-renmei,"Zen Okinawa Karate-dō Renmei (全沖縄空手道連盟, All-Okinawa Karate-dō Federation)",,other,,1967,"Zen Okinawa Karate-dō Renmei (全沖縄空手道連盟, All-Okinawa Karate-dō Federation)",0,"Zen Okinawa Karate-dō Renmei (全沖縄空手道連盟, All-Okinawa Karate-dō Federation); 全沖縄空手道連盟"
beikoku-shidokan,Beikoku Shidōkan (American Shidōkan),shorin-ryu-shidokan,shuri-te,Seikichi Iha,2001,Beikoku Shidōkan (American Shidōkan) < Shorin-Ryu Shido-kan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,3,American Shidokan Association; Beikoku Shido-kan; Beikoku Shidōkan (American Shidōkan)
chubu-shorin-ryu,Chūbu Shōrin-ryū,shorin-ryu-seibukan,shuri-te,Zenryō Shimabukuro (headed the Chūbu Shōrin-ryū association); continued after his death by Kōchi Katsuhide as the Chūbu Shōrin-ryū Karate-dō Kyōkai,,Chūbu Shōrin-ryū < Shorin-Ryu Seibukan < Shorin-Ryu < Shuri-te < Te,2,Central Okinawa Shorin-ryu; Chubu Shorin-ryu Karatedo Kyokai; Chūbu Shōrin-ryū
daishinkan,Okinawa Karate-dō Shōrin-ryū Daishinkan Kyōkai (沖縄空手道小林流大信館協会),kobayashi-shorin-ryu,shuri-te,,,Okinawa Karate-dō Shōrin-ryū Daishinkan Kyōkai (沖縄空手道小林流大信館協会) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,1,Okinawa Karate-dō Shōrin-ryū Daishinkan Kyōkai (沖縄空手道小林流大信館協会); 沖縄空手道小林流大信館協会
genseiryu,Genseiryū,shuri-te,shuri-te,Shukumine Seiken,1953,Genseiryū < Shuri-te < Te,3,Gensei-ryu; Genseiryu Butokukai; Genseiryū; gensei-ryu; 玄制流
genseiryu-butokukai,Kokusai Genseiryū Karatedō Renmei Butokukai (国際玄制流空手道連盟武徳会),genseiryu,shuri-te,,,Kokusai Genseiryū Karatedō Renmei Butokukai (国際玄制流空手道連盟武徳会) < Genseiryū < Shuri-te < Te,3,Kokusai Genseiryū Karatedō Renmei Butokukai (国際玄制流空手道連盟武徳会); 国際玄制流空手道連盟武徳会
genseiryu-seidokai,Kokusai Karate-dō Renmei Gensei-ryū Seidōkai (国際空手道連盟玄制流成道会),genseiryu,shuri-te,Tetsuo Narikawa,1983,Kokusai Karate-dō Renmei Gensei-ryū Seidōkai (国際空手道連盟玄制流成道会) < Genseiryū < Shuri-te < Te,1,Kokusai Karate-dō Renmei Gensei-ryū Seidōkai (国際空手道連盟玄制流成道会); 国際空手道連盟玄制流成道会
ishimine-ryu,Ishimine-ryū,shuri-te,shuri-te,Kaneshima Shin'ei (named the school; private Shuri-te tradition from Ishimine Pēchin via Kaneshima Shinbi),,Ishimine-ryū < Shuri-te < Te,3,Ishimine-ryu; Ishimine-ryū
isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,Tatsuo Shimabuku,1956,Isshin-Ryu < Shorin-Ryu < Shuri-te < Te,16,ISSHINRYU; Isshin-Ryu; Isshinkai; Isshinryu; isshinkai; isshinryu
isshin-ryu-aoka,American Okinawan Karate Association (AOKA),isshin-ryu,shuri-te,Shimabuku Tatsuo (established 12 April 1961; later headed by Steve Armstrong),1961,American Okinawan Karate Association (AOKA) < Isshin-Ryu < Shorin-Ryu < Shuri-te < Te,2,AOKA; American Okinawan Karate Association (AOKA)
isshin-ryu-iwka,Isshin-ryū World Karate Association (IWKA),isshin-ryu,shuri-te,Shimabuku Kichirō,1974,Isshin-ryū World Karate Association (IWKA) < Isshin-Ryu < Shorin-Ryu < Shuri-te < Te,1,IWKA; Isshin-ryū World Karate Association (IWKA); Isshinryu World Karate Association
isshin-ryu-oikka,Okinawa Isshin-ryū Karate Kobudō Association (OIKKA),isshin-ryu,shuri-te,Uezu Angi,1990,Okinawa Isshin-ryū Karate Kobudō Association (OIKKA) < Isshin-Ryu < Shorin-Ryu < Shuri-te < Te,1,OIKKA; Okinawa Isshin-ryū Karate Kobudō Association (OIKKA); Okinawan Isshinryu Karate Kobudo Association
isshin-ryu-uika,United Isshin-ryū Karate Association (UIKA),isshin-ryu,shuri-te,"Harold Mitchum (with Ed Johnson, Arcenio Advincula and Milledge Murphey)",1977,United Isshin-ryū Karate Association (UIKA) < Isshin-Ryu < Shorin-Ryu < Shuri-te < Te,2,UIKA; United Isshin-ryū Karate Association (UIKA); United Isshinryu Karate Association
keishinkan,Keishinkan,shudokan,shuri-te,Masanao Takazawa,,Keishinkan < Shudokan < Shuri-te < Te,0,
kenshinkan,Shōrin-ryū Kenshin-kan,matsumura-seito,shuri-te,Fusei Kise,1977,Shōrin-ryū Kenshin-kan < Matsumura Seito Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,5,All Okinawa Shorin-ryu Kenshin-kan Karate and Kobudo Federation; Kenshin Kan; Okinawa Shorin-ryu Matsumura Seito Karate-do Kobudo Federation; Shōrin-ryū Kenshin-kan
kishimoto-di,KishimotoDi,shuri-te,shuri-te,Kishimoto Sōkō (lineage from Tachimura no Pēchin),,KishimotoDi < Shuri-te < Te,6,Kishimoto-di; KishimotoDi; Tachimura-ha Shuri-te; kishimoto-di
